id,food_items,dec_2020,nov_2021,dec_2021
1,Agric eggs medium size,500.56,708.82,715.00
2,Agric eggs(medium size price of one),44.22,70.06,68.57
3,"Beans brown,sold loose",308.54,509.27,511.21
4,Beans:white black eye. sold loose,228.27,528.16,543.77
5,Beef Bone in,872.92,1636.90,1746.28
6,"Beef,boneless",1255.72,2050.88,2171.29
7,Bread sliced 500g,320.00,518.75,458.33
8,Bread unsliced 500g,302.50,430.00,423.33
9,Broken Rice (Ofada),661.95,748.61,712.50
10,Chicken Feet,860.00,1400.00,1400.00
11,Chicken Wings,1262.50,1720.00,1866.67
12,Evaporated tinned milk carnation 170g,175.00,250.00,255.00
13,"Evaporated tinned milk(peak), 170g",231.18,262.35,261.54
14,Frozen chicken,1545.71,2100.00,2350.00
15,"Gari white,sold loose",175.66,354.84,357.60
16,"Gari yellow,sold loose",255.52,410.44,450.00
17,Mudfish (aro) fresh,933.77,1293.11,1290.67
18,Mudfish : dried,2350.56,2728.57,2714.29
19,Onion bulb,328.33,446.50,405.12
20,Rice agric sold loose,486.45,517.60,523.49
21,Rice local sold loose,420.94,390.85,409.09
22,Rice Medium Grained,456.31,502.23,493.46
23,"Rice,imported high quality sold loose",550.65,500.69,469.23
24,Tomato,359.33,486.63,477.60
25,Yam tuber,261.79,440.70,361.06
26,Dried Fish Sardine,1424.76,1621.21,1553.85
27,Iced Sardine,700.00,1194.74,1172.22
28,Irish potato,284.14,519.60,481.82
29,Sweet potato,150.96,285.46,252.49
30,Tilapia fish (epiya) fresh,939.75,1211.76,1223.53
31,Titus:frozen,1065.23,1500.93,1479.57
32,Catfish (obokun) fresh,870.59,1400.00,1438.46
33,Catfish :dried,1815.45,2010.58,2260.00
34,Catfish Smoked,1525.00,1900.00,1952.00
35,Mackerel : frozen,891.35,1278.15,1277.89
36,"Groundnut oil: 1 bottle, specify bottle",666.67,900.00,930.00
37,Maize grain white sold loose,192.72,251.42,293.24
38,Maize grain yellow sold loose,201.46,267.62,313.76
39,"Palm oil: 1 bottle,specify bottle",466.67,758.52,769.05
40,Plantain(ripe),238.19,350.37,366.77
41,Plantain(unripe),194.86,372.02,330.24
42,"Vegetable oil:1 bottle,specify bottle",666.22,900.10,938.57
43,Wheat flour: prepacked (golden penny 2kg),708.13,990.38,1000.00
,,,,
,,,,
,,,,
