Selected Food Prices - National,,,,,,,,,,,,,,,,
,Dec-20,Nov-21,Dec-21,Lowest,Highest,Month-on-Month,Year-on-Year,,,,Food Items,Dec-20,Nov-21, Dec-21,MoM, YoY
Agric eggs medium size,499.55,629.82,635.16,Borno (413.31),Bayelsa (800.4),0.85,27.15,,,,NORTH CENTRAL,,,,,
Agric eggs(medium size price of one),45.40,57.35,57.80,Taraba (41.43),Lagos (73.18),0.78,27.31,,,,"Beans brown,sold loose",299.60,377.11,379.18,0.55,26.56
"Beans brown,sold loose",336.24,490.19,494.83,Bauchi (234.52),Anambra (904.79),0.95,47.17,,,,"Beef,boneless","1,343.81","1,497.07","1,505.51",0.56,12.03
Beans:white black eye. sold loose,309.07,476.76,480.79,Bauchi (240),Ebonyi (888.57),0.85,55.56,,,,Bread sliced 500g,314.29,324.94,326.65,0.52,3.93
Beef Bone in,1083.14,1366.24,1385.96,Bauchi (977.64),Abuja (1887.69),1.44,27.96,,,,"Gari white,sold loose",228.48,262.05,261.56,-0.18,14.48
"Beef,boneless",1405.72,1812.03,1846.39,Gombe (1251.95),Abuja (2535.61),1.90,31.35,,,,Onion bulb,222.82,181.97,182.89,0.50,-17.92
Bread sliced 500g,327.17,404.20,407.97,Bauchi (246.91),Abuja (606.24),0.93,24.70,,,,"Palm oil: 1 bottle,specify bottle",511.50,571.11,583.75,2.21,14.13
Bread unsliced 500g,304.51,366.46,372.06,Plateau (243.53),Abuja (634.09),1.53,22.18,,,,Rice local sold loose,381.97,397.34,399.80,0.62,4.67
Broken Rice (Ofada),467.64,480.65,480.23,Nassarawa (303.23),Lagos (850.25),-0.09,2.69,,,,Tomato,191.20,192.25,193.13,0.46,1.01
Catfish (obokun) fresh,1068.19,1276.58,1284.34,Yobe (736.94),Abia (2016.67),0.61,20.24,,,,Wheat flour: prepacked (golden penny 2kg),716.27,808.16,821.36,1.63,14.67
Catfish :dried,1728.47,1946.38,1973.64,Zamfara (1295),Abuja (3571.3),1.40,14.18,,,,Yam tuber,162.57,181.85,182.77,0.51,12.43
Catfish Smoked,1534.92,1664.65,1673.32,Niger (1329.45),Edo (2329.44),0.52,9.02,,,,NORTH EAST,,,,,
Chicken Feet,729.50,882.77,883.89,Taraba (307.04),Ondo (1450),0.13,21.16,,,,"Beans brown,sold loose",236.72,275.66,277.62,0.71,17.28
Chicken Wings,977.67,1179.82,1197.57,Adamawa (495.75),Edo (2075),1.50,22.49,,,,"Beef,boneless","1,241.32","1,274.23","1,280.42",0.49,3.15
Dried Fish Sardine,1482.61,1636.80,1647.56,Katsina (1250),Abia (2524.61),0.66,11.13,,,,Bread sliced 500g,259.11,257.34,259.20,0.72,0.03
Evaporated tinned milk carnation 170g,167.48,195.70,199.31,Anambra (125.13),Edo (273),1.84,19.00,,,,"Gari white,sold loose",195.43,238.02,239.78,0.74,22.70
"Evaporated tinned milk(peak), 170g",196.70,234.93,236.83,Benue (173.52),Ondo (350.53),0.81,20.40,,,,Onion bulb,165.24,155.16,157.08,1.24,-4.94
